"NUTS_ID","area_m2","area_km2"
"UKG",12823762490.1728,12823.7624901728
"UKH",18658574706.472,18658.574706472
"UKI",1498508135.27734,1498.50813527734
"LT02",55069913672.3528,55069.9136723528
"LU00",2627480254.72339,2627.48025472339
"LV00",64646543720.7183,64646.5437207183
"ME00",13968864824.1021,13968.8648241021
"MK00",25392523403.8038,25392.5234038038
"MT00",275536525.21658,275.53652521658
"NL11",2401388802.77201,2401.38880277201
"EL42",5325633201.74636,5325.63320174636
"EL43",8197606801.35519,8197.60680135519
"EL51",14019149547.2546,14019.1495472546
"EL52",19086927947.1876,19086.9279471876
"EL53",9398095986.98982,9398.09598698982
"EL54",9110772994.02038,9110.77299402038
"DK02",7423674095.36475,7423.67409536475
"CH02",10130230725.555,10130.230725555
"CH03",1923800769.82403,1923.80076982403
"CH04",1762719186.8294,1762.7191868294
"CH05",11349255030.8964,11349.2550308964
"CH06",4369097944.59935,4369.09794459935
"CH07",2788079026.05816,2788.07902605816
"ITG2",24219795547.8229,24219.7955478229
"ITH1",7440427012.10836,7440.42701210836
"ITH2",6271767196.34041,6271.76719634041
"ITH3",18211300112.0953,18211.3001120953
"ITH4",7765334207.06506,7765.33420706506
"ITH5",22538250141.0513,22538.2501410513
"ITI1",23176508418.8874,23176.5084188874
"ITI2",8353527721.1693,8353.5277211693
"ITI3",9322996637.00224,9322.99663700224
"ITI4",17367722274.4373,17367.7222744373
"LI00",160106570.525093,160.106570525093
"LT01",9514540626.52655,9514.54062652655
"TR81",9447234577.81655,9447.23457781655
"TR82",26789279098.7032,26789.2790987032
"DE93",15551382535.5879,15551.3825355879
"DE94",14884642372.0358,14884.6423720358
"DEA1",5305397476.74438,5305.39747674438
"DEA2",7368513121.71699,7368.51312171699
"DEA3",6974215324.54161,6974.21532454161
"DEA4",6528442032.91331,6528.44203291331
"DEA5",8033727859.96925,8033.72785996925
"DEB1",8151772832.70634,8151.77283270634
"DEB2",4824132115.14148,4824.13211514148
"DEB3",6942375087.96756,6942.37508796756
"RS2",52610925911.9391,52610.9259119391
"SE1",51818779119.767,51818.779119767
"SE2",85785284093.8844,85785.2840938844
"SE3",315046198261.293,315046.198261293
"FRB0",39646899435.1242,39646.8994351242
"FRC1",31681405001.6454,31681.4050016454
"FRC2",16307563267.6906,16307.5632676906
"FRD1",17649007803.4555,17649.0078034555
"FRD2",12480737310.3247,12480.7373103247
"FRE1",12347818440.375,12347.818440375
"FRE2",19384833911.3843,19384.8339113843
"FRF1",8410314340.89055,8410.31434089055
"FRF2",25647129827.9821,25647.1298279821
"FRF3",23576152891.1505,23576.1528911505
"FRG0",32386361776.5101,32386.3617765101
"FRH0",27411653918.5882,27411.6539185882
"FRI1",42026018946.8604,42026.0189468604
"FRI2",17104275417.2723,17104.2754172723
"FRI3",25861026001.4616,25861.0260014616
"FRJ1",27823807867.7687,27823.8078677687
"FRJ2",45546290016.646,45546.290016646
"FRK1",26138161501.4049,26138.1615014049
"FRK2",45077805477.6073,45077.8054776073
"FRL0",31750296828.4116,31750.2968284116
"FRM0",8522564487.69874,8522.56448769874
"HR03",24472907832.3267,24472.9078323267
"HR02",23276928674.6252,23276.9286746252
"HU11",522913720.419641,522.913720419641
"HU12",6377807088.44615,6377.80708844615
"HU21",11174126534.8291,11174.1265348291
"HU22",11290543511.1881,11290.5435111881
"ITF6",15116578893.1375,15116.5788931375
"ITG1",25741344186.9221,25741.3441869221
"TR52",49727186763.7162,49727.1867637162
"TR61",36377911858.0749,36377.9118580749
"TR62",29481358155.225,29481.358155225
"TR63",23456685437.5041,23456.6854375041
"TR71",31709379375.6751,31709.3793756751
"TR72",60024410205.81,60024.41020581
"DE254",208711522.48262,208.71152248262
"DE255",33990405.0753444,33.9904050753444
"DE256",2031246193.1515,2031.2461931515
"DE257",661618783.631635,661.618783631635
"TR83",38049552853.4364,38049.5528534364
"TR90",35041286425.8458,35041.2864258458
"TRA1",40774155738.367,40774.155738367
"TRA2",29865415005.8454,29865.4150058454
